Meses,2019,2020,2021
Enero,1754515.395,1921854.361,1814892.226
Febrero,1542826.073,1810122.534,1872503.246
Marzo,1947294.33,1585480.444,1740878.54
Abril,1988979.786,1105246.985,1752983.486
Mayo,1989627.159,1448160.803,1765088.433
Junio,1784570.6,1636966.092,1777193.379
Julio,1981765.678,1605320.436,1789298.325
Agosto,1931604.397,1787467.793,1801403.272
Septiembre,1768104.934,1757620.703,1813508.218
Octubre,1741895.55,1799976.091,0
Noviembre,1878064.292,1945901.746,0
Diciembre,2020131.025,1822450.015,0
